Using device: cuda
/export/scratch/aqsa-laiba_cv2proj/cv2_project_sol/Eye-fixation-prediction-main/predict_test.py:77: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(checkpoint_dir, map_location=device)
image-4243.png saved shape: (224, 224) min/max: 128 255
image-4244.png saved shape: (224, 224) min/max: 128 255
image-4245.png saved shape: (224, 224) min/max: 131 255
image-4246.png saved shape: (224, 224) min/max: 128 255
image-4247.png saved shape: (224, 224) min/max: 128 255
image-4248.png saved shape: (224, 224) min/max: 128 255
image-4249.png saved shape: (224, 224) min/max: 128 255
image-4250.png saved shape: (224, 224) min/max: 128 255
image-4251.png saved shape: (224, 224) min/max: 128 255
image-4252.png saved shape: (224, 224) min/max: 128 255
image-4253.png saved shape: (224, 224) min/max: 128 255
image-4254.png saved shape: (224, 224) min/max: 136 255
image-4255.png saved shape: (224, 224) min/max: 131 252
image-4256.png saved shape: (224, 224) min/max: 128 255
image-4257.png saved shape: (224, 224) min/max: 128 255
image-4258.png saved shape: (224, 224) min/max: 135 255
image-4259.png saved shape: (224, 224) min/max: 128 255
image-4260.png saved shape: (224, 224) min/max: 128 255
image-4261.png saved shape: (224, 224) min/max: 128 255
image-4262.png saved shape: (224, 224) min/max: 128 255
image-4263.png saved shape: (224, 224) min/max: 128 255
image-4264.png saved shape: (224, 224) min/max: 128 255
image-4265.png saved shape: (224, 224) min/max: 128 255
image-4266.png saved shape: (224, 224) min/max: 128 255
image-4267.png saved shape: (224, 224) min/max: 128 255
image-4268.png saved shape: (224, 224) min/max: 128 255
image-4269.png saved shape: (224, 224) min/max: 128 255
image-4270.png saved shape: (224, 224) min/max: 128 255
image-4271.png saved shape: (224, 224) min/max: 128 255
image-4272.png saved shape: (224, 224) min/max: 130 255
image-4273.png saved shape: (224, 224) min/max: 130 252
image-4274.png saved shape: (224, 224) min/max: 130 255
image-4275.png saved shape: (224, 224) min/max: 128 255
image-4276.png saved shape: (224, 224) min/max: 128 255
image-4277.png saved shape: (224, 224) min/max: 131 255
image-4278.png saved shape: (224, 224) min/max: 128 255
image-4279.png saved shape: (224, 224) min/max: 128 255
image-4280.png saved shape: (224, 224) min/max: 128 255
image-4281.png saved shape: (224, 224) min/max: 128 255
